sourceid,dstid,hod,mean_travel_time,standard_deviation_travel_time,geometric_mean_travel_time,geometric_standard_deviation_travel_time
11,96,23,897.83,549.55,786.26,1.6
96,33,0,225.41,64.61,217.58,1.29
147,148,21,73.57,34.13,62.21,1.91
127,130,13,549.79,262.41,504.84,1.47
25,166,2,662.83,107.88,653.51,1.19
28,136,2,769.22,209.21,744.05,1.29
8,11,7,790.29,208.72,767.79,1.26
27,46,15,906.16,293.52,864.26,1.35
23,86,15,738.82,237.4,697.61,1.43
29,26,15,524.53,307.87,449.53,1.8
25,66,15,921.23,204.49,901.77,1.22
83,82,21,114.34,133.44,83.26,2.03
84,72,21,515.33,215.94,480.75,1.42
28,36,15,452.69,320.47,371.4,1.88
25,110,3,542.66,153.94,524.06,1.29
23,130,3,818.76,231.94,789.72,1.3
82,92,21,429.71,32.27,428.51,1.08
38,125,21,520.43,174.37,499.11,1.31
110,49,11,897.09,242.61,864.79,1.31
69,138,15,631.27,319.05,571.4,1.52
23,110,23,633.34,264.38,585.95,1.48
111,41,12,986.56,472.38,899.6,1.51
40,24,14,423.57,226.07,380.05,1.57
21,130,23,769.06,272.85,722.12,1.44
110,51,12,970.89,223.59,946.4,1.25
112,29,11,1214.0,304.68,1173.69,1.3
52,132,3,800.0,240.64,766.11,1.34
16,36,7,1116.44,132.71,1108.91,1.12
128,66,6,310.67,166.11,272.01,1.68
81,26,8,678.42,380.78,607.86,1.57
82,16,8,995.47,347.02,947.52,1.35
73,175,1,1256.0,367.54,1203.58,1.34
80,36,8,1348.92,393.38,1284.25,1.38
78,125,1,721.33,462.38,603.01,1.78
40,24,19,375.58,187.76,339.37,1.55
74,141,12,733.0,85.19,728.01,1.12
105,23,7,948.0,421.36,854.1,1.59
112,80,2,911.67,323.77,852.24,1.45
125,67,0,298.56,180.96,237.93,2.04
132,84,4,258.63,155.81,229.07,1.56
63,128,8,455.73,279.02,387.91,1.77
61,148,8,340.95,295.34,249.06,2.25
130,7,0,486.83,22.45,486.33,1.05
62,138,8,920.1,429.6,845.65,1.48
68,63,9,474.99,199.97,439.14,1.47
67,73,9,893.94,242.7,866.89,1.27
70,22,18,1546.96,427.69,1488.48,1.32
52,58,19,405.78,250.08,361.49,1.58
51,68,19,1166.22,347.76,1121.79,1.31
53,48,19,444.33,221.55,404.36,1.52
55,132,4,959.96,285.49,924.63,1.3
50,78,19,209.18,141.82,174.04,1.88
55,28,19,959.23,249.48,926.06,1.31
81,132,21,550.33,222.49,518.31,1.38
16,63,20,833.94,219.65,812.62,1.24
41,110,5,164.77,116.54,132.43,1.93
78,65,7,729.23,698.13,566.13,1.85
70,43,4,423.88,190.73,386.48,1.52
62,105,9,349.11,193.03,286.88,1.96
99,59,22,194.57,62.13,186.41,1.32
58,62,13,772.92,194.14,750.06,1.27
68,42,9,226.29,162.41,177.81,2.04
69,32,9,719.42,299.69,653.46,1.57
66,62,9,492.68,163.57,466.24,1.4
63,92,9,653.33,229.02,618.89,1.37
67,52,9,1460.38,222.4,1442.95,1.17
65,72,9,702.41,242.34,651.67,1.51
61,165,15,339.1,218.44,267.81,2.18
65,125,15,262.29,96.88,242.79,1.5
48,79,19,278.62,200.18,230.48,1.84
49,69,19,1017.18,235.67,991.03,1.25
38,78,0,638.53,152.28,622.44,1.25
107,87,14,256.1,223.28,156.12,3.02
26,161,1,623.88,399.74,545.96,1.59
84,78,4,110.55,128.09,80.34,1.95
51,8,0,1004.58,212.76,984.54,1.22
32,130,5,551.18,246.33,494.42,1.61
63,136,19,533.83,181.23,507.88,1.36
87,48,4,571.43,221.47,535.72,1.41
62,124,19,520.5,194.72,488.97,1.41
63,114,19,494.59,185.17,466.55,1.39
143,147,12,308.86,448.9,159.81,2.77
16,43,0,1012.05,235.55,986.4,1.25
52,107,12,577.71,97.1,569.33,1.19
35,128,2,562.43,330.39,496.11,1.6
42,128,11,457.49,204.98,425.1,1.44
41,138,11,1071.76,299.84,1033.83,1.3
11,128,23,391.35,202.14,361.98,1.42
82,54,13,263.3,203.41,175.78,2.8
28,67,10,432.77,154.57,411.02,1.36
26,87,10,230.82,124.5,196.99,2.01
85,24,13,1053.4,269.75,1024.97,1.25
28,69,0,477.12,192.98,441.49,1.54
27,79,0,775.81,139.15,763.0,1.2
74,45,6,269.64,133.77,204.41,2.74
80,74,13,357.61,242.02,302.05,1.72
29,59,0,927.75,285.55,892.36,1.31
71,75,6,331.13,158.69,299.13,1.57
29,57,10,773.5,268.01,735.15,1.36
72,65,6,646.71,210.88,612.9,1.39
62,34,17,335.91,268.4,288.12,1.79
61,44,17,1418.69,428.66,1362.06,1.32
63,24,17,774.1,359.03,702.98,1.54
73,55,6,436.73,136.16,411.57,1.45
55,54,10,363.92,158.09,332.01,1.54
52,84,10,540.8,246.28,494.57,1.51
58,24,10,725.05,347.63,655.94,1.55
42,47,8,1170.37,340.89,1124.55,1.32
44,27,8,772.19,319.91,716.23,1.46
71,16,14,770.4,278.19,740.02,1.3
70,26,14,1416.0,126.04,1410.58,1.09
40,67,8,397.77,222.14,343.71,1.84
110,30,15,1149.27,443.72,1069.6,1.46
12,130,17,910.15,332.86,852.61,1.44
56,146,2,187.83,19.35,186.89,1.1
58,28,17,791.42,247.08,752.13,1.38
55,58,17,208.36,137.32,165.51,2.12
53,78,17,1067.87,414.89,995.5,1.45
31,103,0,400.14,225.65,357.07,1.55
45,119,1,388.85,85.08,381.09,1.21
92,136,5,880.22,382.79,812.84,1.47
96,32,7,257.96,118.71,228.6,1.67
87,96,17,1000.36,658.23,814.68,1.91
36,136,16,934.25,283.25,890.65,1.37
79,46,15,802.31,274.97,762.48,1.37
28,64,0,398.11,196.8,366.87,1.46
29,54,0,503.08,220.74,463.69,1.49
52,73,5,477.23,291.22,417.27,1.64
51,83,5,268.14,234.23,221.52,1.71
54,53,5,101.12,110.54,44.78,4.56
57,23,5,452.86,293.73,309.32,3.04
70,24,1,758.11,437.88,680.26,1.52
26,84,0,675.77,434.49,587.32,1.63
30,11,22,844.3,197.18,824.75,1.23
99,59,7,234.82,127.66,206.82,1.62
38,29,20,782.23,328.0,711.22,1.57
29,66,4,471.17,187.72,433.94,1.51
26,96,4,778.83,257.86,737.07,1.4
36,49,20,909.33,278.92,872.75,1.32
34,69,20,719.92,251.58,683.16,1.37
125,132,5,583.0,148.08,563.13,1.31
25,94,0,885.36,316.96,836.46,1.39
130,33,4,401.17,182.77,363.65,1.55
